Company Name,Location,Datum,Detail,Status Rocket, Rocket,Status Mission
SpaceX,"LC-39A, Kennedy Space Center, FL",May 18 2022 10:59 UTC,Starlink Group 4-18,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",May 14 2022 20:40 UTC,Starlink Group 4-15,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",May 13 2022 22:07 UTC,Starlink Group 4-13,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang, China",May 09 2022 17:56 UTC,Tianzhou 4,Long March 7,StatusActive,60.0,Success
CASC,"LC-9, Taiyuan, China",May 05 2022 02:38 UTC,Jilin-1 Kuanfu-01C,Long March 2D,StatusActive,29.7,Success
Rocket Lab,"LC-1A, Mahia, New Zealand",May 02 2022 22:49 UTC,There and Back Again,Electron,StatusActive,7.5,Success
CASC,"Yellow Sea Platform, China",Apr 30 2022 03:30 UTC,Jilin-1 Gaofen,Long March 11,StatusActive,10.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Apr 29 2022 21:27 UTC,Starlink Group 4-16,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Site 43/4, Plesetsk, Russia",Apr 29 2022 19:55 UTC,Kosmos 2555,Angara 1.2,StatusActive,25.0,Success
CASC,"LC-9, Jiuquan, China",Apr 29 2022 04:11 UTC,Siwei Gaojing 1-01/02,Long March 2C,StatusActive,25.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Apr 27 2022 07:52 UTC,Crew-4 (Freedom),Falcon 9 Block 5,StatusActive,145.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Apr 21 2022 17:51 UTC,Starlink Group 4-14,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Apr 17 2022 13:13 UTC,NROL-85,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-9, Taiyuan, China",Apr 15 2022 18:16 UTC,Daqi-1,Long March 4C,StatusActive,30.0,Success
CASC,"LC-3, Xichang, China",Apr 15 2022 12:00 UTC,Chinasat 6D,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Apr 08 2022 15:17 UTC,Axiom-1 (Private ISS Crew),Falcon 9 Block 5,StatusActive,160.0,Success
Roscosmos,"Site 43/4, Plesetsk, Russia",Apr 07 2022 11:20 UTC,Kosmos 2554,Soyuz 2.1b,StatusActive,48.5,Success
CASC,"LC-9, Jiuquan, China",Apr 06 2022 23:47 UTC,Gaofen 3-03,Long March 4C,StatusActive,30.0,Success
Rocket Lab,"LC-1A, Mahia, New Zealand",Apr 02 2022 12:41 UTC,Without Mission A Beat,Electron,StatusActive,7.5,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Apr 01 2022 16:24 UTC,Transporter-4 (Rideshare),Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Jiuquan, China",Mar 30 2022 02:29 UTC,Tianping 2A/B/C,Long March 11,StatusActive,10.0,Success
CASC,"LC-9, Taiyuan, China",Mar 29 2022 09:50 UTC,Pujiang 2,Long March 6A,StatusActive,35.0,Success
Roscosmos,"Site 43/4, Plesetsk, Russia",Mar 22 2022 12:48 UTC,Meridian-M 20L,Soyuz 2.1a / Fregat,StatusActive,48.5,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Mar 19 2022 04:42 UTC,Starlink Group 4-12,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Mar 18 2022 15:55 UTC,Soyuz MS-21,Soyuz 2.1a,StatusActive,90.0,Success
CASC,"LC-9, Jiuquan, China",Mar 17 2022 07:09 UTC,Yaogan 34-02,Long March 4C,StatusActive,30.0,Success
Astra,"LP-3B, Kodiak, Alaska, USA",Mar 15 2022 16:22 UTC,S4 CROSSINGS,Rocket 3.3,StatusRetired,2.5,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Mar 09 2022 13:45 UTC,Starlink Group 4-10,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-3, Xichang, China",Mar 05 2022 06:01 UTC,Yinhe-2 01-06,Long March 2C,StatusActive,25.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Mar 03 2022 14:25 UTC,Starlink Group 4-9,Falcon 9 Block 5,StatusActive,52.0,Success
ULA,"SLC-41, Cape Canaveral, FL, USA",Mar 01 2022 21:38 UTC,GOES-T,Atlas V 541,StatusRetired,153.0,Success
Rocket Lab,"LC-1B, Mahia, New Zealand",Feb 28 2022 20:37 UTC,The Owl's Night Continues,Electron,StatusActive,7.5,Success
CASC,"Wenchang, China",Feb 27 2022 03:06 UTC,22 Satellites (Rideshare),Long March 8,StatusActive,40.0,Success
CASC,"LC-9, Jiuquan, China",Feb 26 2022 23:44 UTC,L-SAR 01B,Long March 4C,StatusActive,30.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Feb 25 2022 17:12 UTC,Starlink Group 4-11,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Feb 21 2022 14:44 UTC,Starlink Group 4-8,Falcon 9 Block 5,StatusActive,52.0,Success
Northrop Grumman,"LP-0A, Wallops Island, VA, USA",Feb 19 2022 17:40 UTC,Cygnus NG-17,Antares 230+,StatusRetired,85.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Feb 15 2022 04:25 UTC,Progress MS-19,Soyuz 2.1a,StatusActive,48.5,Success
ISRO,"Satish Dhawan, India",Feb 14 2022 00:29 UTC,EOS-04,PSLV-XL,StatusActive,25.0,Success
Astra,"SLC-46, Cape Canaveral, FL, USA",Feb 10 2022 20:00 UTC,ELaNa 41,Rocket 3.3,StatusRetired,2.5,Failure
Arianespace,"Site 31/6, Baikonur, Kaz",Feb 10 2022 18:09 UTC,OneWeb #13,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
Roscosmos,"Site 43/4, Plesetsk, Russia",Feb 05 2022 07:00 UTC,Kosmos 2553,Soyuz 2.1a / Fregat,StatusActive,48.5,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Feb 03 2022 18:13 UTC,Starlink Group 4-7,Falcon 9 Block 5,StatusActive,52.0,Partial Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Feb 02 2022 20:27 UTC,NROL-87,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jan 31 2022 23:11 UTC,CSG-2,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-9, Jiuquan, China",Jan 25 2022 23:44 UTC,L-SAR 01A,Long March 4C,StatusActive,30.0,Success
ULA,"SLC-41, Cape Canaveral, FL, USA",Jan 21 2022 19:00 UTC,USSF-8 (GSSAP 5 & 6),Atlas V 511,StatusRetired,153.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Jan 19 2022 02:02 UTC,Starlink Group 4-6,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Taiyuan, China",Jan 17 2022 02:35 UTC,Shiyan 13,Long March 2D,StatusActive,29.7,Success
Virgin Orbit,"Cosmic Girl, Mojave, USA",Jan 13 2022 15:00 UTC,Above the Clouds,LauncherOne,StatusRetired,12.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jan 13 2022 15:25 UTC,Transporter-3 (Rideshare),Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Jan 06 2022 21:49 UTC,Starlink Group 4-5,Falcon 9 Block 5,StatusActive,52.0,Success
NASA/ESA,"Guiana Space Centre",Dec 25 2021 12:20 UTC,James Webb Space Telescope,Ariane 5 ECA+,StatusRetired,8800.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Dec 19 2021 03:58 UTC,Türksat 5B,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Dec 18 2021 12:41 UTC,Starlink Group 4-4,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Site 200/39, Baikonur, Kaz",Dec 13 2021 12:07 UTC,Ekspress-AMU3/AMU7,Proton-M,StatusActive,65.0,Success
CASC,"LC-3, Xichang, China",Dec 13 2021 16:09 UTC,Tianlian II-02,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Dec 09 2021 06:00 UTC,IXPE (X-ray Astro),Falcon 9 Block 5,StatusActive,50.0,Success
CASC,"LC-2, Jiuquan, China",Dec 10 2021 00:11 UTC,Shijian 6-05,Long March 4B,StatusActive,30.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Dec 08 2021 07:38 UTC,Soyuz MS-20 (Space Tourists),Soyuz 2.1a,StatusActive,90.0,Success
ULA,"SLC-41, Cape Canaveral, FL, USA",Dec 07 2021 10:19 UTC,STP-3, Atlas V 551,StatusActive,153.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Dec 02 2021 23:12 UTC,Starlink Group 4-3,Falcon 9 Block 5,StatusActive,50.0,Success
CASC,"LC-3, Xichang, China",Dec 02 2021 19:30 UTC,Batstar,Long March 3B/E,StatusActive,50.0,Success
CASC,"LC-2, Jiuquan, China",Nov 26 2021 23:40 UTC,Shiyan 13,Long March 2D,StatusActive,29.7,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Nov 24 2021 13:06 UTC,Progress M-UM (Prichal),Soyuz 2.1b,StatusActive,48.5,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Nov 24 2021 06:21 UTC,DART (Asteroid Impact),Falcon 9 Block 5,StatusActive,69.0,Success
CASC,"LC-3, Xichang, China",Nov 22 2021 23:45 UTC,Shiyan 11,Long March 4C,StatusActive,30.0,Success
Astra,"LP-3B, Kodiak, Alaska, USA",Nov 20 2021 06:16 UTC,STP-27AD2,Rocket 3.3,StatusRetired,2.5,Success
CASC,"LC-2, Jiuquan, China",Nov 20 2021 01:51 UTC,Gaofen 11-03,Long March 4B,StatusActive,30.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Nov 13 2021 12:19 UTC,Starlink Group 4-1,Falcon 9 Block 5,StatusActive,50.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Nov 11 2021 02:03 UTC,Crew-3 (Endurance),Falcon 9 Block 5,StatusActive,145.0,Success
JAXA,"Uchinoura, Japan",Nov 09 2021 00:55 UTC,RAISE-2 & 8 cubesats,Epsilon,StatusActive,38.0,Success
CASC,"LC-2, Jiuquan, China",Nov 06 2021 03:00 UTC,Yaogan 35 A/B/C,Long March 2D,StatusActive,29.7,Success
CASC,"LC-3, Xichang, China",Nov 05 2021 02:19 UTC,Guangmu,Long March 6,StatusActive,35.0,Success
CASC,"LC-2, Jiuquan, China",Nov 03 2021 07:43 UTC,Yaogan 32-02,Long March 2C,StatusActive,25.0,Success
ExPace,"LC-9, Jiuquan, China",Oct 27 2021 06:19 UTC,Jilin-1 Gaofen-02F,Kuaizhou 1A,StatusActive,6.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Oct 28 2021 00:00 UTC,Progress MS-18,Soyuz 2.1a,StatusActive,48.5,Success
CASC,"LC-2, Jiuquan, China",Oct 27 2021 06:19 UTC,Jilin-1 Gaofen-02F,Kuaizhou 1A,StatusActive,6.0,Success
JAXA,"Tanegashima, Japan",Oct 26 2021 02:19 UTC,QZS-1R,H-IIA 202,StatusActive,90.0,Success
Arianespace,"Guiana Space Centre",Oct 24 2021 02:10 UTC,SES-17 & Syracuse 4A,Ariane 5 ECA+,StatusRetired,175.0,Success
CASC,"LC-3, Xichang, China",Oct 24 2021 01:27 UTC,Shijian 21,Long March 3B/E,StatusActive,50.0,Success
ULA,"SLC-41, Cape Canaveral, FL, USA",Oct 16 2021 09:34 UTC,Lucy (Trojan Asteroids),Atlas V 401,StatusActive,150.0,Success
CASC,"LC-2, Jiuquan, China",Oct 15 2021 16:23 UTC,Shenzhou 13 (Crewed),Long March 2F,StatusActive,150.0,Success
CASC,"LC-9, Taiyuan, China",Oct 14 2021 10:51 UTC,CHASE (Solar Obs),Long March 2D,StatusActive,29.7,Success
Arianespace,"Site 1S, Vostochny, Russia",Oct 14 2021 09:40 UTC,OneWeb #11,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Oct 05 2021 08:55 UTC,Soyuz MS-19 (Movie Crew),Soyuz 2.1a,StatusActive,90.0,Success
CASC,"LC-2, Xichang, China",Sep 27 2021 08:20 UTC,Shiyan 10,Long March 3B/E,StatusActive,50.0,Partial Success
ULA,"SLC-3E, Vandenberg, CA, USA",Sep 27 2021 18:12 UTC,Landsat 9,Atlas V 401,StatusActive,132.0,Success
CASC,"LC-2, Jiuquan, China",Sep 27 2021 06:19 UTC,Jilin-1 Gaofen-02D,Long March 11,StatusActive,10.0,Success
CASC,"Wenchang, China",Sep 20 2021 07:10 UTC,Tianzhou 3,Long March 7,StatusActive,60.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Sep 16 2021 00:02 UTC,Inspiration4 (Private Crew),Falcon 9 Block 5,StatusActive,200.0,Success
Arianespace,"Site 31/6, Baikonur, Kaz",Sep 14 2021 18:07 UTC,OneWeb #10,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Sep 14 2021 03:55 UTC,Starlink Group 2-1,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Site 43/3, Plesetsk, Russia",Sep 09 2021 19:59 UTC,Kosmos 2551,Soyuz 2.1v,StatusActive,35.0,Success
CASC,"LC-3, Xichang, China",Sep 09 2021 11:50 UTC,ChinaSat 9B,Long March 3B/E,StatusActive,50.0,Success
CASC,"LC-9, Taiyuan, China",Sep 07 2021 03:01 UTC,Gaofen 5-02,Long March 4C,StatusActive,30.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Aug 29 2021 07:14 UTC,SpaceX CRS-23,Falcon 9 Block 5,StatusActive,62.0,Success
Astra,"LP-3B, Kodiak, Alaska, USA",Aug 28 2021 22:35 UTC,STP-27AD1,Rocket 3.3,StatusRetired,2.5,Failure
CASC,"LC-3, Xichang, China",Aug 24 2021 15:41 UTC,TJS-7,Long March 3B/E,StatusActive,50.0,Success
CASC,"LC-2, Jiuquan, China",Aug 24 2021 11:15 UTC,RSW-01 & 02,Long March 2C,StatusActive,25.0,Success
Arianespace,"Site 31/6, Baikonur, Kaz",Aug 21 2021 22:13 UTC,OneWeb #9,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
CASC,"LC-9, Taiyuan, China",Aug 18 2021 22:32 UTC,Tianhui-2 02A & 02B,Long March 4B,StatusActive,30.0,Success
Arianespace,"Guiana Space Centre",Aug 17 2021 01:47 UTC,Pléiades Neo 4,Vega,StatusActive,40.0,Success
ISRO,"Satish Dhawan, India",Aug 12 2021 00:13 UTC,EOS-03,GSLV Mk II,StatusActive,45.0,Failure
Northrop Grumman,"LP-0A, Wallops Island, VA, USA",Aug 10 2021 22:01 UTC,Cygnus NG-16,Antares 230+,StatusRetired,85.0,Success
CASC,"LC-2, Xichang, China",Aug 05 2021 16:30 UTC,ChinaSat 2E,Long March 3B/E,StatusActive,50.0,Success
CASC,"LC-9, Jiuquan, China",Aug 03 2021 07:39 UTC,Jilin-1 Mofang-01A,Hyperbola-1,StatusActive,5.0,Failure
Arianespace,"Guiana Space Centre",Jul 30 2021 21:00 UTC,Eutelsat Quantum,Ariane 5 ECA+,StatusRetired,175.0,Success
Rocket Lab,"LC-1A, Mahia, New Zealand",Jul 29 2021 06:00 UTC,It's a Little Chile Up Here,Electron,StatusActive,7.5,Success
CASC,"LC-9, Jiuquan, China",Jul 29 2021 04:01 UTC,Tianhui-1D,Long March 2D,StatusActive,29.7,Success
Roscosmos,"Site 200/39, Baikonur, Kaz",Jul 21 2021 14:58 UTC,Nauka (ISS Module),Proton-M,StatusActive,65.0,Success
CASC,"LC-2, Xichang, China",Jul 19 2021 00:19 UTC,Yaogan 30-10,Long March 2C,StatusActive,25.0,Success
CASC,"LC-9, Taiyuan, China",Jul 09 2021 11:59 UTC,Zhongzi-02,Long March 6,StatusActive,35.0,Success
CASC,"LC-2, Xichang, China",Jul 06 2021 15:53 UTC,Tianlian I-05,Long March 3C/E,StatusActive,50.0,Success
CASC,"LC-9, Jiuquan, China",Jul 04 2021 23:28 UTC,Fengyun 3E,Long March 4C,StatusActive,30.0,Success
CASC,"LC-9, Taiyuan, China",Jul 03 2021 02:51 UTC,Jilin-1 Kuanfu-01B,Long March 2D,StatusActive,29.7,Success
Arianespace,"Site 1S, Vostochny, Russia",Jul 01 2021 12:48 UTC,OneWeb #8,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
Virgin Orbit,"Cosmic Girl, Mojave, USA",Jun 30 2021 14:47 UTC,Tubular Bells: Part One,LauncherOne,StatusRetired,12.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jun 30 2021 19:31 UTC,Transporter-2,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Site 31/6, Baikonur, Kazakhstan",Jun 29 2021 23:27 UTC,Progress MS-17,Soyuz 2.1a,StatusActive,48.5,Success
Roscosmos,"Site 43/4, Plesetsk, Russia",Jun 25 2021 19:50 UTC,Kosmos 2550,Soyuz 2.1b,StatusActive,48.5,Success
CASC,"LC-2, Xichang, China",Jun 18 2021 06:30 UTC,Yaogan 30-09,Long March 2C,StatusActive,25.0,Success
CASC,"LC-9, Jiuquan, China",Jun 17 2021 01:22 UTC,Shenzhou 12 (Crewed),Long March 2F,StatusActive,150.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jun 17 2021 16:09 UTC,GPS III-05,Falcon 9 Block 5,StatusActive,62.0,Success
ULA,"SLC-41, Cape Canaveral, FL, USA",Jun 15 2021 10:11 UTC,NROL-111,Minotaur I,StatusActive,40.0,Success
CASC,"LC-9, Jiuquan, China",Jun 11 2021 03:03 UTC,Beijing-3A,Long March 2D,StatusActive,29.7,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jun 06 2021 04:26 UTC,SXM-8,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL, USA",Jun 03 2021 17:29 UTC,SpaceX CRS-22,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-2, Xichang, China",Jun 02 2021 16:17 UTC,Fengyun 4B,Long March 3B/E,StatusActive,50.0,Success
CASC,"Wenchang, China",May 29 2021 12:55 UTC,Tianzhou 2,Long March 7,StatusActive,60.0,Success
Arianespace,"Site 1S, Vostochny, Russia",May 28 2021 17:38 UTC,OneWeb #7,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",May 26 2021 18:59 UTC,Starlink V1 L28,Falcon 9 Block 5,StatusActive,50.0,Success
Rocket Lab,"LC-1A, Mahia, New Zealand",May 15 2021 11:11 UTC,Running Out of Toes,Electron,StatusActive,7.5,Failure
CASC,"LC-9, Jiuquan, China",May 19 2021 04:03 UTC,HaiYang 2D,Long March 4B,StatusActive,30.0,Success
ULA,"SLC-41, Cape Canaveral, FL, USA",May 18 2021 17:37 UTC,SBIRS GEO-5,Atlas V 421,StatusActive,153.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL, USA",May 15 2021 22:56 UTC,Starlink V1 L26,Falcon 9 Block 5,StatusActive,50.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",May 09 2021 06:42 UTC,Starlink V1 L27,Falcon 9 Block 5,StatusActive,50.0,Success
CASC,"LC-2, Xichang, China",May 06 2021 18:11 UTC,Yaogan 30-08,Long March 2C,StatusActive,25.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL, USA",May 04 2021 19:01 UTC,Starlink V1 L25,Falcon 9 Block 5,StatusActive,50.0,Success
CASC,"LC-9, Jiuquan, China",Apr 30 2021 07:27 UTC,Yaogan 34,Long March 4C,StatusActive,30.0,Success
CASC,"Wenchang, China",Apr 29 2021 03:23 UTC,Tianhe (Space Station Core),Long March 5B,StatusActive,150.0,Success
Arianespace,"Guiana Space Centre",Apr 29 2021 01:50 UTC,Pléiades Neo 3,Vega,StatusActive,40.0,Success
ULA,"SLC-6, Vandenberg, CA, USA",Apr 26 2021 20:47 UTC,NROL-82,Delta IV Heavy,StatusRetired,350.0,Success
Arianespace,"Site 1S, Vostochny, Russia",Apr 25 2021 22:14 UTC,OneWeb #6,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
SpaceX,"LC-39A, Kennedy Space Center, FL, USA",Apr 23 2021 09:49 UTC,Crew-2 (Endeavour),Falcon 9 Block 5,StatusActive,145.0,Success
Roscosmos,"Site 31/6, Baikonur, Kazakhstan",Apr 09 2021 07:42 UTC,Soyuz MS-18,Soyuz 2.1a,StatusActive,90.0,Success
CASC,"LC-9, Taiyuan, China",Apr 08 2021 23:01 UTC,Shiyan 6-03,Long March 4B,StatusActive,30.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Apr 07 2021 16:34 UTC,Starlink V1 L23,Falcon 9 Block 5,StatusActive,50.0,Success
CASC,"LC-2, Xichang, China",Mar 30 2021 16:45 UTC,Gaofen 12-02,Long March 4C,StatusActive,30.0,Success
Arianespace,"Site 1S, Vostochny, Russia",Mar 25 2021 02:47 UTC,OneWeb #5,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Mar 24 2021 08:28 UTC,Starlink V1 L22,Falcon 9 Block 5,StatusActive,50.0,Success
CASC,"LC-9, Jiuquan, China",Mar 13 2021 02:19 UTC,Yaogan 31-04,Long March 4C,StatusActive,30.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL, USA",Mar 14 2021 10:01 UTC,Starlink V1 L21,Falcon 9 Block 5,StatusActive,50.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL, USA",Mar 11 2021 08:13 UTC,Starlink V1 L20,Falcon 9 Block 5,StatusActive,50.0,Success
CASC,"LC-2, Xichang, China",Mar 11 2021 17:51 UTC,Shiyan 9,Long March 7A,StatusActive,60.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Mar 04 2021 08:24 UTC,Starlink V1 L17,Falcon 9 Block 5,StatusActive,50.0,Success
Northrop Grumman,"LP-0A, Wallops Island, VA, USA",Feb 20 2021 17:36 UTC,Cygnus NG-15,Antares 230+,StatusRetired,85.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Feb 16 2021 03:59 UTC,Starlink V1 L19,Falcon 9 Block 5,StatusActive,50.0,Success
CASC,"LC-2, Xichang, China",Feb 04 2021 15:36 UTC,TJS-6,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Feb 04 2021 06:19 UTC,Starlink V1 L18,Falcon 9 Block 5,StatusActive,50.0,Success
CASC,"LC-9, Jiuquan, China",Jan 29 2021 04:47 UTC,Yaogan 31-02,Long March 4C,StatusActive,30.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jan 24 2021 15:00 UTC,Transporter-1,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jan 20 2021 13:02 UTC,Starlink V1 L16,Falcon 9 Block 5,StatusActive,50.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jan 08 2021 02:15 UTC,Türksat 5A,Falcon 9 Block 5,StatusActive,62.0,Success
Astra,"LP-3B, Kodiak, Alaska, USA",Dec 15 2020 20:55 UTC,Rocket 3.2 (Test Flight),Rocket 3.2,StatusRetired,2.5,Success
CASC,"LC-2, Xichang, China",Dec 27 2020 15:44 UTC,Yaogan 33,Long March 4C,StatusActive,30.0,Success
CASC,"Wenchang, China",Dec 22 2020 04:37 UTC,Xinyi-1,Long March 8,StatusActive,40.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL, USA",Dec 19 2020 14:00 UTC,NROL-108,Falcon 9 Block 5,StatusActive,62.0,Success
Roscosmos,"Site 1S, Vostochny, Russia",Dec 18 2020 12:26 UTC,OneWeb #4,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Dec 13 2020 17:30 UTC,SXM-7,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-2, Xichang, China",Dec 09 2020 20:14 UTC,GECAM,Long March 11,StatusActive,10.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Dec 06 2020 16:17 UTC,SpaceX CRS-21,Falcon 9 Block 5,StatusActive,62.0,Success
Roscosmos,"Site 43/4, Plesetsk, Russia",Dec 03 2020 01:14 UTC,Gonets-M No. 30-32,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
Arianespace,"Guiana Space Centre",Nov 17 2020 01:52 UTC,VV17 - SEOSAT-Ingenio,Vega,StatusActive,40.0,Failure
ISRO,"Satish Dhawan, India",Nov 07 2020 09:32 UTC,EOS-01 (RSAT-2BR2),PSLV-DL,StatusActive,25.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Nov 21 2020 17:17 UTC,Sentinel-6 Michael Freilich,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-9, Jiuquan, China",Nov 23 2025 20:30 UTC,Chang'e 5,Long March 5,StatusActive,150.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL, USA",Nov 16 2020 00:27 UTC,Crew-1 (Resilience),Falcon 9 Block 5,StatusActive,145.0,Success
ULA,"SLC-41, Cape Canaveral, FL, USA",Nov 13 2020 22:32 UTC,NROL-101,Atlas V 531,StatusActive,153.0,Success
Rocket Lab,"LC-1A, Mahia, New Zealand",Nov 20 2020 02:20 UTC,Return to Sender,Electron,StatusActive,7.5,Success
Rocket Lab,"LC-1A, Mahia, New Zealand",Oct 28 2020 21:21 UTC,In Focus,Electron,StatusActive,7.5,Success
CASC,"LC-2, Xichang, China",Oct 26 2020 15:19 UTC,Yaogan 30-07,Long March 2C,StatusActive,25.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Oct 24 2020 15:31 UTC,Starlink V1 L15,Falcon 9 Block 5,StatusActive,50.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL, USA",Oct 18 2020 12:25 UTC,Starlink V1 L14,Falcon 9 Block 5,StatusActive,50.0,Success
Roscosmos,"Site 31/6, Baikonur, Kazakhstan",Oct 14 2020 05:45 UTC,Soyuz MS-17,Soyuz 2.1a,StatusActive,90.0,Success
Blue Origin,"Van Horn, Texas, USA",Oct 13 2020 13:35 UTC,NS-13,New Shepard,StatusActive,1.25,Success
CASC,"LC-2, Xichang, China",Oct 11 2020 16:57 UTC,Gaofen 13,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL, USA",Oct 06 2020 11:29 UTC,Starlink V1 L13,Falcon 9 Block 5,StatusActive,50.0,Success
Northrop Grumman,"LP-0A, Wallops Island, VA, USA",Oct 03 2020 01:16 UTC,Cygnus NG-14 (S.S. Kalpana Chawla),Antares 230+,StatusRetired,85.0,Success
Roscosmos,"Site 43/4, Plesetsk, Russia",Sep 28 2020 11:20 UTC,Gonets-M No. 27-29,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
CASC,"LC-9, Jiuquan, China",Sep 27 2020 03:23 UTC,Huanjing-2A/2B,Long March 4C,StatusActive,30.0,Success
